Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,116.35,2021-01-01,115.72,117.64,114.53,113.57,112.6,111.23,Awaiting Targets
2021-01-04,122.4,2021-01-01,115.72,117.64,114.53,113.57,112.6,111.23,Stop Loss has occured
2021-01-12,127.45,2021-01-12,128.28,131.18,126.48,125.03,123.57,121.51,Awaiting Targets, 
2021-01-13,126.1,2021-01-12,128.28,131.18,126.48,125.03,123.57,121.51,Target 2 Reached,SELL
2021-01-15,121.75,2021-01-12,128.28,131.18,126.48,125.03,123.57,121.51,Final Target Reached,SELL
2021-01-20,121.25,2021-01-20,121.05,117.83,123.58,125.35,127.37,129.33,Awaiting Targets, 
2021-01-21,117.2,2021-01-20,121.05,117.83,123.58,125.35,127.37,129.33,Stop Loss has occured,BUY
2021-02-01,108.85,2021-02-01,107.27,104.49,109.44,110.97,112.71,114.4,Awaiting Targets, 
2021-02-02,110.8,2021-02-01,107.27,104.49,109.44,110.97,112.71,114.4,Target 3 Reached,BUY
2021-02-04,116.55,2021-02-01,107.27,104.49,109.44,110.97,112.71,114.4,Final Target Reached,BUY
