Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-03-16,1007.25,2021-03-15,982.89,992.91,976.69,971.68,966.67,959.54,Stop Loss has occured
2021-03-18,947.75,2021-03-15,982.9,992.9,976.7,971.7,966.7,959.5,Final Target Reached,SELL
2021-03-24,975.65,2021-03-23,982.3,962.7,997.7,1008.4,1020.7,1032.6,Awaiting Targets,BUY
