Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,3481.25,2020-12-16,3288.24,3261.97,3308.86,3323.34,3339.79,3355.75,Final Target Reached
2021-01-11,3617.35,2021-01-11,3575.98,3551.08,3595.53,3609.26,3624.85,3639.97,Awaiting Targets, 
2021-01-12,3624.25,2021-01-11,3575.98,3551.08,3595.53,3609.26,3624.85,3639.97,Final Target Reached,BUY
2021-01-15,3580.3,2021-01-15,3583.07,3624.0,3557.75,3537.29,3516.82,3487.69,Awaiting Targets, 
2021-01-18,3563.75,2021-01-15,3583.07,3624.0,3557.75,3537.29,3516.82,3487.69,Target 3 Reached,SELL
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached,SELL
2021-01-21,3703.3,2021-01-15,3583.07,3624.0,3557.75,3537.29,3516.82,3487.69,Target 3 Reached,SELL
2021-01-29,4005.8,2021-01-29,4092.29,4244.71,3998.0,3921.79,3845.58,3737.08,Awaiting Targets, 
2021-02-01,4114.7,2021-01-29,4092.29,4244.71,3998.0,3921.79,3845.58,3737.08,Target 1 Reached,SELL
2021-02-05,4231.25,2021-02-05,4231.26,4284.76,4198.16,4171.41,4144.66,4106.57,Awaiting Targets, 
