Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-29,58.95,2021-01-27,59.33,58.2,60.22,60.85,61.56,62.25,Target 2 Reached
2021-02-01,67.05,2021-01-27,59.33,58.2,60.22,60.85,61.56,62.25,Final Target Reached,BUY
2021-02-10,90.9,2021-02-10,91.0,100.98,84.82,79.83,74.84,67.73,Awaiting Targets, 
