Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
ICICIBANK,2021-02-17,657.35,2021-02-16,665.17,652.45,675.16,682.17,690.14,697.86,BUY,Awaiting Targets
HDFCBANK,2021-02-17,1586.5,2021-02-16,1624.32,1609.46,1635.98,1644.18,1653.48,1662.51,BUY,Awaiting Targets
TATAMOTORS,2021-02-17,330.15,2021-02-16,332.51,327.96,336.08,338.58,341.43,344.2,BUY,Stop Loss has occured
KOTAKBANK,2021-02-17,1989.45,2021-02-16,2016.66,2003.39,2027.07,2034.39,2042.7,2050.76,BUY,Stop Loss has occured
