Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
SBIN,2021-03-10,387.7,2021-03-10,389.38,386.67,391.5,393.0,394.69,396.33,BUY,Awaiting Targets
ADANIPORTS,2021-03-10,745.35,2021-03-10,751.24,770.77,739.15,729.39,719.62,705.72,SELL,Awaiting Targets
TCS,2021-03-10,3070.95,2021-03-10,3074.79,3058.78,3087.35,3096.18,3106.2,3115.93,BUY,Awaiting Targets
INFY,2021-03-10,1368.15,2021-03-10,1363.52,1356.4,1369.1,1373.02,1377.48,1381.8,BUY,Awaiting Targets
ONGC,2021-03-10,114.4,2021-03-10,115.48,117.4,114.29,113.32,112.36,110.99,SELL,Awaiting Targets
UPL,2021-03-10,621.3,2021-03-10,623.75,612.69,632.44,638.54,645.47,652.19,BUY,Awaiting Targets
COALINDIA,2021-03-10,150.95,2021-03-10,151.66,149.78,153.14,154.18,155.36,156.5,BUY,Awaiting Targets
HDFC,2021-03-10,2599.8,2021-03-10,2595.05,2578.14,2608.32,2617.64,2628.23,2638.5,BUY,Awaiting Targets
