Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
ULTRACEMCO,2021-04-15,6539.3,2021-04-13,6578.9,6717.8,6492.9,6423.4,6353.9,6254.9,SELL,Target 2 Reached
MARUTI,2021-04-15,6644.25,2021-04-13,6662.5,6765.7,6598.7,6547.1,6495.5,6422.1,SELL,Target 1 Reached
LT,2021-04-15,1374.65,2021-04-13,1362.5,1382.6,1350.1,1340.1,1330.1,1315.8,SELL,Stop Loss has occured
HDFC,2021-04-15,2547.15,2021-04-13,2467.7,2503.3,2445.6,2427.8,2410.0,2384.6,SELL,Awaiting Targets
HEROMOTOCO,2021-04-15,2862.55,2021-04-13,2829.2,2891.4,2790.7,2759.5,2728.4,2684.1,SELL,Awaiting Targets
TITAN,2021-04-15,1538.55,2021-04-13,1532.3,1559.6,1515.4,1501.7,1488.1,1468.6,SELL,Awaiting Targets
POWERGRID,2021-04-15,207.8,2021-04-13,206.5,202.1,209.9,212.4,215.1,217.8,BUY,Target 1 Reached
NESTLEIND,2021-04-15,16875.65,2021-04-13,17348.9,17468.8,17274.8,17214.8,17154.9,17069.6,SELL,Final Target Reached
