Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
SBIN,2021-03-09,387.6,2021-03-08,389.38,395.37,385.67,382.67,379.67,375.41,SELL,Target 2 Reached
ULTRACEMCO,2021-03-09,6697.4,2021-03-08,6749.46,6890.76,6662.05,6591.4,6520.75,6420.17,SELL,Target 1 Reached
TCS,2021-03-09,3050.95,2021-03-08,3012.98,3063.96,2981.45,2955.96,2930.47,2894.18,SELL,Stop Loss has occured
PEL,2021-03-09,1908.15,2021-03-08,1935.44,1961.6,1919.25,1906.17,1893.09,1874.46,SELL,Final Target Reached
INFY,2021-03-09,1345.55,2021-03-08,1330.96,1359.07,1313.57,1299.52,1285.47,1265.46,SELL,Awaiting Targets
ASIANPAINT,2021-03-09,2422.7,2021-03-08,2384.81,2416.67,2365.1,2349.17,2333.24,2310.56,SELL,Awaiting Targets
DIVISLAB,2021-03-09,3503.2,2021-03-08,3520.0,3578.24,3483.96,3454.84,3425.72,3384.26,SELL,Target 1 Reached
ONGC,2021-03-09,116.75,2021-03-08,119.19,117.4,120.59,121.57,122.69,123.78,BUY,Stop Loss has occured
ITC,2021-03-09,207.8,2021-03-08,209.05,211.17,207.73,206.67,205.61,204.1,SELL,Target 3 Reached
JSWSTEEL,2021-03-09,401.6,2021-03-08,410.45,418.12,405.7,401.87,398.04,392.58,SELL,Target 3 Reached
HDFC,2021-03-09,2577.3,2021-03-08,2532.68,2565.87,2512.14,2495.54,2478.95,2455.32,SELL,Stop Loss has occured
HEROMOTOCO,2021-03-09,3448.85,2021-03-08,3459.45,3532.87,3414.03,3377.32,3340.61,3288.35,SELL,Awaiting Targets
WIPRO,2021-03-09,419.2,2021-03-08,420.67,429.24,415.37,411.09,406.81,400.71,SELL,Target 2 Reached
TECHM,2021-03-09,988.15,2021-03-08,968.38,984.51,958.4,950.34,942.27,930.79,SELL,Stop Loss has occured
