Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
TCS,2021-05-26,3158.5,2021-05-25,3104.1,3093.4,3112.5,3118.4,3125.0,3131.5,BUY,Final Target Reached
ONGC,2021-05-26,113.35,2021-05-25,115.0,112.8,116.7,118.0,119.3,120.7,BUY,Awaiting Targets
TATAMOTORS,2021-05-26,315.5,2021-05-25,315.9,309.4,321.1,324.7,328.8,332.7,BUY,Awaiting Targets
ITC,2021-05-26,210.6,2021-05-25,211.9,210.8,212.8,213.4,214.1,214.8,BUY,Stop Loss has occured
JSWSTEEL,2021-05-26,682.2,2021-05-25,698.1,690.8,703.8,707.8,712.4,716.8,BUY,Awaiting Targets
INDUSINDBK,2021-05-26,998.45,2021-05-25,1000.3,1023.6,985.9,974.2,962.5,945.9,SELL,Awaiting Targets
HINDUNILVR,2021-05-26,2354.0,2021-05-25,2351.7,2341.8,2359.4,2364.9,2371.0,2377.0,BUY,Target 2 Reached
