Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
ADANIPORTS,2021-04-22,737.8,2021-04-20,730.3,742.1,723.0,717.2,711.3,702.9,SELL,Final Target Reached
BAJFINANCE,2021-04-22,4688.7,2021-04-20,4607.7,4542.5,4659.0,4694.9,4735.8,4775.4,BUY,Target 2 Reached
INFY,2021-04-22,1351.1,2021-04-20,1362.9,1329.2,1389.4,1408.0,1429.1,1449.6,BUY,Awaiting Targets
ASIANPAINT,2021-04-22,2511.25,2021-04-20,2571.8,2591.4,2559.6,2549.8,2540.0,2526.0,SELL,Final Target Reached
DIVISLAB,2021-04-22,3755.25,2021-04-20,3798.4,3731.2,3851.1,3888.2,3930.3,3971.1,BUY,Awaiting Targets
GAIL,2021-04-22,133.0,2021-04-20,136.5,138.6,135.2,134.2,133.1,131.6,SELL,Final Target Reached
ONGC,2021-04-22,103.1,2021-04-20,103.3,104.8,102.5,101.8,101.1,100.1,SELL,Target 2 Reached
UPL,2021-04-22,591.6,2021-04-20,599.1,606.6,594.5,590.7,586.9,581.6,SELL,Target 3 Reached
KOTAKBANK,2021-04-22,1736.05,2021-04-20,1710.1,1736.8,1693.6,1680.3,1666.9,1647.9,SELL,Target 2 Reached
AXISBANK,2021-04-22,658.7,2021-04-20,653.2,663.6,646.7,641.5,636.3,628.9,SELL,Target 3 Reached
DRREDDY,2021-04-22,5199.85,2021-04-20,5139.2,5043.0,5214.8,5267.8,5328.1,5386.6,BUY,Target 2 Reached
BHARTIARTL,2021-04-22,530.85,2021-04-20,530.5,535.4,527.5,525.0,522.5,519.0,SELL,Target 1 Reached
HDFC,2021-04-22,2479.7,2021-04-20,2477.1,2509.6,2457.0,2440.7,2424.4,2401.3,SELL,Final Target Reached
INDUSINDBK,2021-04-22,835.7,2021-04-20,848.7,836.6,858.2,864.8,872.4,879.7,BUY,Awaiting Targets
HEROMOTOCO,2021-04-22,2851.15,2021-04-20,2828.6,2871.5,2802.1,2780.6,2759.2,2728.6,SELL,Target 3 Reached
NESTLEIND,2021-04-22,16790.45,2021-04-20,17206.4,17029.9,17345.0,17442.4,17552.9,17660.2,BUY,Awaiting Targets
BAJAJFINSV,2021-04-22,9853.85,2021-04-20,9741.3,9856.3,9670.1,9612.6,9555.1,9473.2,SELL,Target 2 Reached
