Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
SBIN,2021-04-08,355.6,2021-04-06,353.1,358.5,349.8,347.1,344.4,340.5,SELL,Target 1 Reached
ULTRACEMCO,2021-04-08,6971.25,2021-04-06,6775.8,6837.8,6737.4,6706.4,6675.4,6631.2,SELL,Target 1 Reached
DIVISLAB,2021-04-08,3715.15,2021-04-06,3643.9,3686.8,3617.3,3595.8,3574.4,3543.8,SELL,Stop Loss has occured
GAIL,2021-04-08,138.55,2021-04-06,135.6,138.0,134.1,132.9,131.7,130.0,SELL,Awaiting Targets
BPCL,2021-04-08,430.55,2021-04-06,429.0,433.4,426.2,424.0,421.8,418.6,SELL,Stop Loss has occured
AXISBANK,2021-04-08,681.6,2021-04-06,684.3,693.6,678.5,673.8,669.2,662.5,SELL,Target 3 Reached
NTPC,2021-04-08,105.0,2021-04-06,107.0,108.2,106.2,105.6,105.0,104.1,SELL,Target 3 Reached
ITC,2021-04-08,213.25,2021-04-06,212.9,215.3,211.4,210.2,209.1,207.4,SELL,Stop Loss has occured
INDUSINDBK,2021-04-08,934.9,2021-04-06,937.7,956.2,926.2,917.0,907.7,894.5,SELL,Target 1 Reached
SUNPHARMA,2021-04-08,614.25,2021-04-06,613.7,620.6,609.4,605.9,602.5,597.5,SELL,Target 1 Reached
HINDUNILVR,2021-04-08,2409.9,2021-04-06,2394.7,2422.6,2377.5,2363.6,2349.7,2329.8,SELL,Stop Loss has occured
GRASIM,2021-04-08,1447.8,2021-04-06,1438.7,1457.8,1426.9,1417.4,1407.8,1394.2,SELL,Stop Loss has occured
HDFCLIFE,2021-04-08,701.45,2021-04-06,691.3,700.2,685.8,681.4,676.9,670.5,SELL,Stop Loss has occured
NESTLEIND,2021-04-08,17689.9,2021-04-06,16977.9,17125.5,16886.6,16812.8,16739.1,16634.0,SELL,Awaiting Targets
