Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
ADANIPORTS,2021-05-20,765.7,2021-05-18,769.5,759.8,777.1,782.4,788.5,794.4,BUY,Target 3 Reached
ULTRACEMCO,2021-05-20,6573.85,2021-05-18,6616.4,6538.7,6677.4,6720.2,6768.9,6816.1,BUY,Target 2 Reached
TCS,2021-05-20,3060.0,2021-05-18,3097.7,3077.9,3113.2,3124.1,3136.4,3148.4,BUY,Target 1 Reached
SHREECEM,2021-05-20,27510.35,2021-05-18,27474.9,27263.5,27640.9,27757.5,27889.9,28018.3,BUY,Final Target Reached
ICICIBANK,2021-05-20,618.6,2021-05-18,630.6,623.5,636.3,640.2,644.7,649.0,BUY,Stop Loss has occured
HDFCBANK,2021-05-20,1432.8,2021-05-18,1468.3,1455.2,1478.6,1485.8,1494.1,1502.0,BUY,Target 1 Reached
KOTAKBANK,2021-05-19,1730.55,2021-05-18,1761.1,1741.1,1776.7,1787.8,1800.3,1812.4,BUY,Awaiting Targets
AXISBANK,2021-05-20,705.9,2021-05-18,716.6,708.8,722.7,727.0,731.9,736.6,BUY,Target 1 Reached
HDFC,2021-05-20,2445.0,2021-05-18,2506.2,2486.3,2521.8,2532.8,2545.2,2557.3,BUY,Stop Loss has occured
INDUSINDBK,2021-05-20,975.5,2021-05-18,973.9,958.5,985.9,994.4,1004.0,1013.4,BUY,Target 1 Reached
HINDUNILVR,2021-05-20,2344.15,2021-05-18,2387.9,2368.8,2402.9,2413.4,2425.4,2437.0,BUY,Awaiting Targets
BAJAJFINSV,2021-05-20,11227.9,2021-05-18,11405.4,11259.7,11519.8,11600.2,11691.5,11780.0,BUY,Stop Loss has occured
