Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
DIVISLAB,2021-05-21,4079.9,2021-05-20,4028.4,3976.4,4069.3,4097.9,4130.5,4162.1,BUY,Target 2 Reached
BPCL,2021-05-21,461.05,2021-05-20,450.6,447.1,453.3,455.2,457.4,459.5,BUY,Final Target Reached
UPL,2021-05-21,779.85,2021-05-20,778.6,821.6,752.0,730.4,708.9,678.3,SELL,Awaiting Targets
DRREDDY,2021-05-21,5216.45,2021-05-20,5250.5,5196.3,5293.1,5323.0,5357.0,5389.9,BUY,Stop Loss has occured
SUNPHARMA,2021-05-21,690.4,2021-05-20,693.4,686.8,698.6,702.2,706.4,710.4,BUY,Awaiting Targets
POWERGRID,2021-05-21,227.95,2021-05-20,231.6,237.4,227.9,225.0,222.1,217.9,SELL,Target 1 Reached
HDFCLIFE,2021-05-21,670.7,2021-05-20,670.3,668.9,671.4,672.2,673.1,673.9,BUY,Final Target Reached
