Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
ULTRACEMCO,2021-04-23,6067.9,2021-04-22,6121.4,6241.4,6047.1,5987.1,5927.1,5841.6,SELL,Target 1 Reached
TCS,2021-04-23,3109.5,2021-04-22,3130.0,3153.4,3115.5,3103.8,3092.2,3075.5,SELL,Target 3 Reached
SHREECEM,2021-04-23,28106.3,2021-04-22,28751.4,29130.1,28517.1,28327.7,28138.3,27868.7,SELL,Target 3 Reached
HDFCBANK,2021-04-23,1414.15,2021-04-22,1400.1,1421.8,1386.7,1375.8,1364.9,1349.5,SELL,Awaiting Targets
TATAMOTORS,2021-04-23,294.0,2021-04-22,295.9,301.1,292.6,290.0,287.4,283.7,SELL,Target 1 Reached
ITC,2021-04-23,205.35,2021-04-22,203.7,201.2,205.6,206.9,208.5,210.0,BUY,Target 2 Reached
SUNPHARMA,2021-04-23,637.95,2021-04-22,646.7,654.5,641.8,637.9,634.0,628.4,SELL,Target 3 Reached
BRITANNIA,2021-04-23,3650.3,2021-04-22,3733.8,3691.6,3766.9,3790.1,3816.5,3842.1,BUY,Stop Loss has occured
IOC,2021-04-23,88.05,2021-04-22,87.8,88.9,87.2,86.7,86.2,85.5,SELL,Awaiting Targets
SBILIFE,2021-04-23,922.85,2021-04-22,907.5,917.6,901.3,896.3,891.3,884.1,SELL,Target 1 Reached
