Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
BAJFINANCE,2021-02-19,5497.95,2021-02-18,5624.82,5693.29,5582.46,5548.23,5513.99,5465.25,SELL,Final Target Reached
GAIL,2021-02-19,145.4,2021-02-18,141.96,140.87,142.82,143.42,144.1,144.77,BUY,Final Target Reached
ICICIBANK,2021-02-19,624.05,2021-02-18,646.16,653.25,641.77,638.22,634.68,629.63,SELL,Final Target Reached
HDFCBANK,2021-02-19,1539.1,2021-02-18,1578.55,1592.24,1570.08,1563.24,1556.4,1546.65,SELL,Final Target Reached
TATAMOTORS,2021-02-19,311.85,2021-02-18,327.05,329.99,325.23,323.76,322.3,320.2,SELL,Final Target Reached
KOTAKBANK,2021-02-19,1938.75,2021-02-18,1961.89,1981.51,1949.75,1939.94,1930.13,1916.17,SELL,Target 3 Reached
AXISBANK,2021-02-19,749.65,2021-02-18,774.5,788.4,765.91,758.96,752.01,742.12,SELL,Final Target Reached
BHARTIARTL,2021-02-19,581.35,2021-02-18,592.31,595.38,590.41,588.88,587.35,585.16,SELL,Final Target Reached
ITC,2021-02-19,215.95,2021-02-18,218.89,215.47,221.57,223.46,225.6,227.68,BUY,Stop Loss has occured
INDUSINDBK,2021-02-19,1065.9,2021-02-18,1044.96,1061.55,1034.7,1026.4,1018.1,1006.29,SELL,Target 1 Reached
HEROMOTOCO,2021-02-19,3389.7,2021-02-18,3559.39,3524.51,3586.78,3606.01,3627.85,3649.04,BUY,Awaiting Targets
NCC,2021-02-19,88.8,2021-02-18,90.76,87.98,92.95,94.48,96.22,97.91,BUY,Stop Loss has occured
