Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
ASIANPAINT,2021-03-17,2422.95,2021-03-15,2382.03,2398.0,2372.16,2364.17,2356.19,2344.83,SELL,Stop Loss has occured
SHREECEM,2021-03-17,26842.2,2021-03-15,27577.78,27192.23,27880.46,28093.06,28334.48,28568.69,BUY,Target 1 Reached
ICICIBANK,2021-03-17,589.5,2021-03-15,604.71,611.71,600.38,596.88,593.39,588.41,SELL,Final Target Reached
HDFCBANK,2021-03-17,1495.35,2021-03-15,1535.19,1550.52,1525.71,1518.04,1510.38,1499.47,SELL,Final Target Reached
UPL,2021-03-17,609.2,2021-03-15,618.63,623.46,615.65,613.24,610.82,607.39,SELL,Final Target Reached
LT,2021-03-17,1437.65,2021-03-15,1498.79,1521.52,1484.73,1473.36,1461.99,1445.81,SELL,Final Target Reached
AXISBANK,2021-03-17,727.9,2021-03-15,742.26,755.5,734.07,727.45,720.83,711.41,SELL,Target 2 Reached
DRREDDY,2021-03-17,4355.85,2021-03-15,4387.37,4360.22,4408.68,4423.64,4440.64,4457.13,BUY,Final Target Reached
NCC,2021-03-15,85.95,2021-03-15,86.29,84.31,87.84,88.94,90.17,91.38,BUY,Awaiting Targets
HCLTECH,2021-03-17,987.45,2021-03-15,982.89,992.91,976.69,971.68,966.67,959.54,SELL,Stop Loss has occured
