Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
NTPC,2021-02-24,103.2,2021-02-23,102.57,104.89,101.13,99.97,98.8,97.15,SELL,Awaiting Targets
COALINDIA,2021-02-24,144.4,2021-02-23,137.33,139.76,135.83,134.61,133.39,131.66,SELL,Awaiting Targets
WIPRO,2021-02-24,423.1,2021-02-23,418.87,411.22,424.88,429.1,433.89,438.53,BUY,Target 1 Reached
TECHM,2021-02-24,960.05,2021-02-23,947.88,966.12,936.59,927.47,918.35,905.36,SELL,Stop Loss has occured
NCC,2021-02-24,89.4,2021-02-23,88.73,90.64,87.55,86.59,85.64,84.27,SELL,Awaiting Targets
