Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
MARUTI,2021-02-16,7697.05,2021-02-15,7606.44,7657.91,7574.6,7548.86,7523.12,7486.48,SELL,Awaiting Targets
INFY,2021-02-16,1290.4,2021-02-15,1316.29,1307.58,1323.13,1327.93,1333.38,1338.67,BUY,Stop Loss has occured
ASIANPAINT,2021-02-16,2450.25,2021-02-15,2479.45,2512.82,2458.8,2442.12,2425.43,2401.68,SELL,Target 3 Reached
GAIL,2021-02-16,133.1,2021-02-15,133.75,135.45,132.7,131.85,131.0,129.79,SELL,Target 1 Reached
BHARTIARTL,2021-02-16,593.95,2021-02-15,594.7,591.86,596.92,598.48,600.26,601.98,BUY,Target 3 Reached
INDUSINDBK,2021-02-16,1058.25,2021-02-15,1050.8,1038.84,1060.19,1066.79,1074.28,1081.55,BUY,Final Target Reached
