Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
SBIN,2021-04-20,329.5,2021-04-19,327.9,330.7,326.3,324.9,323.6,321.7,SELL,Stop Loss has occured
ULTRACEMCO,2021-04-20,6200.85,2021-04-19,6498.5,6414.4,6564.5,6610.8,6663.5,6714.5,BUY,Target 3 Reached
RELIANCE,2021-04-20,1901.15,2021-04-19,1903.1,1908.6,1899.6,1896.9,1894.1,1890.2,SELL,Target 3 Reached
MARUTI,2021-04-20,6646.65,2021-04-19,6489.3,6531.5,6463.1,6442.1,6421.0,6390.9,SELL,Awaiting Targets
TCS,2021-04-20,3144.55,2021-04-19,3163.8,3107.0,3208.3,3239.6,3275.1,3309.5,BUY,Target 1 Reached
BPCL,2021-04-20,408.1,2021-04-19,406.5,400.7,411.1,414.3,418.0,421.5,BUY,Target 2 Reached
SHREECEM,2021-04-20,29320.7,2021-04-19,30026.6,29484.3,30452.3,30751.3,31090.9,31420.3,BUY,Target 1 Reached
LT,2021-04-20,1331.5,2021-04-19,1325.6,1334.6,1320.1,1315.6,1311.1,1304.7,SELL,Target 1 Reached
JSWSTEEL,2021-04-20,620.6,2021-04-19,609.1,619.6,602.5,597.3,592.0,584.5,SELL,Awaiting Targets
HCLTECH,2021-04-20,961.3,2021-04-19,1001.7,981.2,1017.8,1029.2,1042.0,1054.5,BUY,Stop Loss has occured
TITAN,2021-04-20,1522.9,2021-04-19,1519.0,1509.6,1526.5,1531.7,1537.6,1543.4,BUY,Final Target Reached
