Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
TCS,2021-04-13,3104.05,2021-04-12,3280.0,3338.4,3243.9,3214.7,3185.5,3144.0,SELL,Final Target Reached
INFY,2021-04-13,1397.15,2021-04-12,1448.1,1471.3,1433.8,1422.2,1410.6,1394.1,SELL,Final Target Reached
ASIANPAINT,2021-04-13,2570.7,2021-04-12,2586.4,2603.2,2576.0,2567.6,2559.2,2547.2,SELL,Target 2 Reached
GAIL,2021-04-13,138.9,2021-04-12,133.4,133.9,133.0,132.8,132.5,132.1,SELL,Awaiting Targets
BPCL,2021-04-13,409.4,2021-04-12,410.8,412.6,409.7,408.8,407.9,406.6,SELL,Final Target Reached
ICICIBANK,2021-04-13,560.6,2021-04-12,543.3,546.6,541.3,539.6,537.9,535.6,SELL,Target 3 Reached
ONGC,2021-04-13,102.05,2021-04-12,99.7,101.3,98.7,97.8,97.0,95.9,SELL,Target 1 Reached
KOTAKBANK,2021-04-13,1775.85,2021-04-12,1747.8,1770.2,1733.9,1722.7,1711.5,1695.5,SELL,Target 1 Reached
BHARTIARTL,2021-04-13,536.15,2021-04-12,529.3,537.6,524.2,520.0,515.9,510.0,SELL,Target 1 Reached
ITC,2021-04-13,208.7,2021-04-12,207.8,208.6,207.4,207.0,206.5,206.0,SELL,Final Target Reached
COALINDIA,2021-04-13,127.95,2021-04-12,126.1,127.2,125.4,124.8,124.3,123.5,SELL,Target 2 Reached
WIPRO,2021-04-13,418.95,2021-04-12,440.5,446.2,436.9,434.1,431.2,427.1,SELL,Final Target Reached
IOC,2021-04-13,88.8,2021-04-12,88.5,89.4,88.0,87.6,87.1,86.5,SELL,Target 3 Reached
HDFCLIFE,2021-04-13,706.1,2021-04-12,685.4,689.1,683.2,681.4,679.5,676.9,SELL,Stop Loss has occured
BAJAJFINSV,2021-04-13,9806.7,2021-04-12,9269.7,9306.0,9247.2,9229.0,9210.8,9185.0,SELL,Target 3 Reached
SBILIFE,2021-04-13,897.8,2021-04-12,886.7,900.1,878.5,871.8,865.1,855.6,SELL,Target 1 Reached
RBLBANK,2021-04-13,193.65,2021-04-12,195.6,199.3,193.3,191.4,189.6,187.0,SELL,Final Target Reached
