Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
HDFCBANK,2021-05-27,1482.65,2021-05-26,1478.5,1492.8,1469.7,1462.5,1455.4,1445.3,SELL,Target 2 Reached
NTPC,2021-05-27,110.3,2021-05-26,112.5,113.2,112.1,111.7,111.4,110.9,SELL,Final Target Reached
COALINDIA,2021-05-27,144.55,2021-05-26,146.7,147.7,146,145.5,145,144.3,SELL,Final Target Reached
EICHERMOT,2021-05-27,2604.05,2021-05-26,2634.1,2608.4,2654.4,2668.6,2684.7,2700.4,BUY,Target 2 Reached
BRITANNIA,2021-05-27,3414.65,2021-05-26,3431,3399.7,3455.6,3472.8,3492.5,3511.5,BUY,Awaiting Targets
GRASIM,2021-05-27,1417.15,2021-05-26,1401.8,1391.4,1410,1415.7,1422.2,1428.6,BUY,Final Target Reached
POWERGRID,2021-05-27,228.3,2021-05-26,229.4,227.5,230.9,232,233.2,234.3,BUY,Awaiting Targets
HDFCLIFE,2021-05-27,664.05,2021-05-26,661.4,666.6,658.2,655.6,653.1,649.4,SELL,Target 1 Reached
BAJAJFINSV,2021-05-27,11888.8,2021-05-26,11667.9,11599.4,11721.6,11759.4,11802.3,11843.9,BUY,Final Target Reached
SBILIFE,2021-05-27,982.1,2021-05-26,972.5,970.4,974.1,975.2,976.4,977.7,BUY,Final Target Reached
RBLBANK,2021-05-27,211.05,2021-05-26,206.8,212.5,203.3,200.4,197.6,193.5,SELL,Awaiting Targets
