Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
ADANIPORTS,2021-05-25,764,2021-05-24,765.7,775.5,759.6,754.7,749.7,742.7,SELL,Target 1 Reached
BAJFINANCE,2021-05-25,5618.65,2021-05-24,5628.7,5725,5569.2,5521.1,5472.9,5404.4,SELL,Awaiting Targets
GAIL,2021-05-25,155.1,2021-05-24,149.2,144.8,152.6,155,157.8,160.4,BUY,Target 2 Reached
HDFCBANK,2021-05-25,1478.95,2021-05-24,1508,1495.4,1517.9,1524.9,1532.7,1540.4,BUY,Stop Loss has occured
LT,2021-05-25,1450.95,2021-05-24,1432.8,1437,1430.3,1428.2,1426.1,1423.2,SELL,Final Target Reached
KOTAKBANK,2021-05-25,1750.5,2021-05-24,1760.4,1749.9,1768.6,1774.4,1780.9,1787.3,BUY,Target 1 Reached
BHARTIARTL,2021-05-25,526.1,2021-05-24,529.2,517.5,538.5,544.9,552.3,559.4,BUY,Awaiting Targets
NTPC,2021-05-25,113.3,2021-05-24,112.9,112,113.6,114.1,114.6,115.2,BUY,Target 3 Reached
COALINDIA,2021-05-25,147.45,2021-05-24,148.1,146.3,149.5,150.6,151.7,152.8,BUY,Target 1 Reached
HDFC,2021-05-25,2530.5,2021-05-24,2532.5,2517.8,2544,2552.2,2561.4,2570.3,BUY,Final Target Reached
SUNPHARMA,2021-05-25,696.1,2021-05-24,692.5,696.4,690.1,688.1,686.2,683.4,SELL,Stop Loss has occured
TITAN,2021-05-25,1569.15,2021-05-24,1523.4,1553.6,1504.7,1489.5,1474.4,1452.8,SELL,Awaiting Targets
