Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
TCS,2021-03-24,3121.1,2021-03-23,3143.6,3107.6,3171.8,3191.6,3214.1,3236.0,BUY,Awaiting Targets
INFY,2021-03-24,1353.75,2021-03-23,1371.7,1351.9,1387.2,1398.2,1410.5,1422.6,BUY,Awaiting Targets
SHREECEM,2021-03-24,27803.3,2021-03-23,27678.5,27402.8,27895.0,28047.0,28219.6,28387.1,BUY,Final Target Reached
AXISBANK,2021-03-24,706.4,2021-03-23,725.5,714.3,734.3,740.5,747.5,754.3,BUY,Awaiting Targets
DRREDDY,2021-03-24,4350.5,2021-03-23,4361.8,4302.1,4408.7,4441.6,4479.0,4515.3,BUY,Target 1 Reached
WIPRO,2021-03-24,411.0,2021-03-23,417.4,409.6,423.4,427.7,432.5,437.2,BUY,Awaiting Targets
HINDUNILVR,2021-03-24,2318.6,2021-03-23,2351.7,2316.4,2379.4,2398.9,2421.0,2442.5,BUY,Awaiting Targets
HCLTECH,2021-03-24,975.65,2021-03-23,982.3,962.7,997.7,1008.4,1020.7,1032.6,BUY,Awaiting Targets
TITAN,2021-03-24,1488.15,2021-03-23,1481.1,1466.6,1492.4,1500.4,1509.4,1518.2,BUY,Target 2 Reached
NESTLEIND,2021-03-24,16448.1,2021-03-23,16628.2,16424.9,16787.8,16899.9,17027.2,17150.7,BUY,Stop Loss has occured
