Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
SBIN,2021-06-04,433.6,2021-06-03,438.0,433.2,441.8,444.5,447.5,450.5,BUY,Target 1 Reached
BPCL,2021-06-04,478.25,2021-06-03,475.0,470.3,478.7,481.3,484.2,487.1,BUY,Target 2 Reached
SHREECEM,2021-06-04,28153.65,2021-06-03,28163.9,28066.6,28240.3,28294.0,28354.9,28414.0,BUY,Final Target Reached
HDFCBANK,2021-06-04,1500.95,2021-06-03,1510.3,1519.6,1504.5,1499.8,1495.2,1488.6,SELL,Target 2 Reached
TATAMOTORS,2021-06-04,334.95,2021-06-03,325.6,322.7,327.9,329.5,331.3,333.1,BUY,Final Target Reached
EICHERMOT,2021-06-04,2744.6,2021-06-03,2725.1,2703.7,2741.9,2753.7,2767.1,2780.1,BUY,Target 3 Reached
SUNPHARMA,2021-06-04,673.95,2021-06-03,677.0,670.2,682.3,686.0,690.3,694.4,BUY,Awaiting Targets
WIPRO,2021-06-04,541.2,2021-06-03,543.2,548.0,540.2,537.8,535.4,532.0,SELL,Awaiting Targets
POWERGRID,2021-06-04,226.15,2021-06-03,228.1,226.6,229.3,230.2,231.1,232.1,BUY,Stop Loss has occured
IOC,2021-06-04,114.6,2021-06-03,111.4,110.6,112.0,112.5,113.0,113.4,BUY,Final Target Reached
SBILIFE,2021-06-04,989.15,2021-06-03,986.4,979.3,992.0,996.0,1000.4,1004.8,BUY,Target 1 Reached
