Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
SBIN,2021-06-24,417.2,2021-06-22,421.1,415.1,425.8,429.1,432.8,436.5,BUY,Stop Loss has occured
TATASTEEL,2021-06-24,1113.15,2021-06-22,1116.0,1093.0,1134.1,1146.8,1161.3,1175.3,BUY,Awaiting Targets
ASIANPAINT,2021-06-24,3043.25,2021-06-22,3048.2,3086.6,3024.4,3005.2,2986.0,2958.7,SELL,Target 3 Reached
DIVISLAB,2021-06-24,4250.35,2021-06-22,4260.0,4213.5,4296.6,4322.2,4351.4,4379.6,BUY,Target 1 Reached
BPCL,2021-06-24,466.1,2021-06-22,475.7,470.8,479.5,482.2,485.3,488.2,BUY,Awaiting Targets
SHREECEM,2021-06-24,28672.3,2021-06-22,28812.0,28644.7,28943.3,29035.6,29140.4,29242.0,BUY,Final Target Reached
HDFCBANK,2021-06-24,1506.25,2021-06-22,1492.2,1484.3,1498.4,1502.7,1507.6,1512.4,BUY,Final Target Reached
LT,2021-06-24,1504.05,2021-06-22,1485.9,1475.2,1494.3,1500.2,1506.9,1513.4,BUY,Target 3 Reached
NTPC,2021-06-24,118.0,2021-06-22,118.1,116.5,119.4,120.4,121.4,122.4,BUY,Stop Loss has occured
ITC,2021-06-24,203.25,2021-06-22,205.5,204.7,206.1,206.5,207.0,207.5,BUY,Stop Loss has occured
JSWSTEEL,2021-06-24,679.0,2021-06-22,676.8,659.0,690.7,700.4,711.5,722.3,BUY,Awaiting Targets
COALINDIA,2021-06-24,146.4,2021-06-22,148.7,144.1,152.3,154.8,157.7,160.5,BUY,Awaiting Targets
INDUSINDBK,2021-06-24,1000.65,2021-06-22,1008.4,991.6,1021.7,1031.0,1041.5,1051.7,BUY,Awaiting Targets
HEROMOTOCO,2021-06-24,2906.95,2021-06-22,2911.6,2887.7,2930.4,2943.6,2958.5,2973.1,BUY,Final Target Reached
EICHERMOT,2021-06-24,2706.75,2021-06-22,2718.8,2691.3,2740.5,2755.6,2772.9,2789.6,BUY,Target 2 Reached
TITAN,2021-06-24,1780.85,2021-06-22,1756.5,1743.0,1767.0,1774.5,1782.9,1791.1,BUY,Final Target Reached
SBILIFE,2021-06-24,1002.15,2021-06-22,995.0,985.0,1002.9,1008.5,1014.8,1020.9,BUY,Target 3 Reached
BANDHANBANK,2021-06-24,1113.15,2021-06-22,1116.0,1093.0,1134.1,1146.8,1161.3,1175.3,BUY,Awaiting Targets
FEDERALBANK,2021-06-24,1113.15,2021-06-22,1116.0,1093.0,1134.1,1146.8,1161.3,1175.3,BUY,Awaiting Targets
RBLBANK,2021-06-24,207.45,2021-06-22,212.0,208.0,215.2,217.4,220.0,222.4,BUY,Awaiting Targets
