Symbol,Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Trend,Status
SBIN,2021-03-02,394.2,2021-03-01,394.69,401.27,390.61,387.32,384.03,379.34,SELL,Target 1 Reached
BAJFINANCE,2021-03-02,5316.3,2021-03-01,5286.68,5380.83,5228.43,5181.36,5134.28,5067.26,SELL,Stop Loss has occured
ULTRACEMCO,2021-03-02,6423.1,2021-03-01,6286.07,6387.31,6223.43,6172.81,6122.19,6050.12,SELL,Awaiting Targets
MARUTI,2021-03-02,7214.1,2021-03-01,6985.48,6776.44,7149.58,7264.84,7395.73,7522.72,BUY,Target 1 Reached
PEL,2021-03-02,1918.7,2021-03-01,1885.55,1922.13,1862.92,1844.63,1826.34,1800.3,SELL,Stop Loss has occured
TATASTEEL,2021-03-02,735.5,2021-03-01,726.0,739.19,717.84,711.24,704.65,695.26,SELL,Stop Loss has occured
ASIANPAINT,2021-03-02,2390.4,2021-03-01,2333.05,2308.22,2352.55,2366.24,2381.79,2396.88,BUY,Final Target Reached
ICICIBANK,2021-03-02,610.5,2021-03-01,606.99,620.56,598.59,591.81,585.02,575.36,SELL,Awaiting Targets
HDFCBANK,2021-03-02,1568.2,2021-03-01,1559.04,1587.36,1541.52,1527.36,1513.2,1493.04,SELL,Stop Loss has occured
LT,2021-03-02,1485.65,2021-03-01,1463.26,1488.15,1447.87,1435.42,1422.98,1405.27,SELL,Stop Loss has occured
KOTAKBANK,2021-03-02,1844.65,2021-03-01,1828.17,1873.53,1800.11,1777.43,1754.75,1722.46,SELL,Awaiting Targets
DRREDDY,2021-03-02,4404.7,2021-03-01,4444.16,4398.58,4479.95,4505.08,4533.62,4561.31,BUY,Stop Loss has occured
INDUSINDBK,2021-03-02,1073.35,2021-03-01,1075.67,1094.14,1064.25,1055.02,1045.78,1032.64,SELL,Target 1 Reached
TECHM,2021-03-02,967.1,2021-03-01,938.7,923.58,950.58,958.92,968.39,977.57,BUY,Target 3 Reached
